# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.reader.load.component.ms,1749132162212000000,1749132222293000000,0
jps.module.iml.entities.serializer.save.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1749132162212000000,1749132222293000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1749132162212000000,1749132222293000000,18
jps.load.initial.state.ms,1749132162212000000,1749132222293000000,11
jps.global.get.libraries.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1749132162212000000,1749132222293000000,0
workspaceModel.orphan.listener.update.ms,1749132162212000000,1749132222293000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1749132162212000000,1749132222293000000,28
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1749132162212000000,1749132222293000000,0
jps.global.initialize.library.bridges.after.loading.ms,1749132162212000000,1749132222293000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1749132162212000000,1749132222293000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1749132162212000000,1749132222293000000,1
jps.apply.loaded.storage.ms,1749132162212000000,1749132222293000000,56
jps.library.entities.serializer.load.entities.ms,1749132162212000000,1749132222293000000,2
jps.artifact.entities.serializer.save.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.global.apply.state.to.project.ms,1749132162212000000,1749132222293000000,6
workspaceModel.moduleManagerBridge.load.all.modules.ms,1749132162212000000,1749132222293000000,1
jps.module.iml.entities.serializer.load.entities.ms,1749132162212000000,1749132222293000000,28
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1749132162212000000,1749132222293000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1749132162212000000,1749132222293000000,5
jps.global.get.library.by.name.ms,1749132162212000000,1749132222293000000,0
jps.global.initialize.library.bridges.ms,1749132162212000000,1749132222293000000,1
jps.project.serializers.save.ms,1749132162212000000,1749132222293000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1749132162212000000,1749132222293000000,0
jps.global.handle.before.change.events.ms,1749132162212000000,1749132222293000000,0
Indexes.entries.lookupDuration90PMs,1749132162212000000,1749132222293000000,0.0
Indexing.writesQueuedMin,1749132162212000000,1749132222293000000,9223372036854775807
Indexes.entries.lookupDurationMaxMs,1749132162212000000,1749132222293000000,0.0
Indexing.writesQueuedMax,1749132162212000000,1749132222293000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,2373
Indexing.totalTimeIndexersSleptMs,1749132162212000000,1749132222293000000,60288
Indexes.allKeys.lookups,1749132162212000000,1749132222293000000,0
Indexing.writer_5.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,1670
Indexing.cache.totalCacheMisses,1749132162212000000,1749132222293000000,2144872
Indexes.stubs.lookups,1749132162212000000,1749132222293000000,2207
Indexes.allKeys.lookupDuration90PMs,1749132162212000000,1749132222293000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,3854
Indexes.entries.lookups,1749132162212000000,1749132222293000000,1
Indexing.writer_2.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,2288
Indexing.writer_0.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,3757
Indexing.cache.totalCacheEvicted,1749132162212000000,1749132222293000000,2144872
Indexes.stubs.lookupDuration90PMs,1749132162212000000,1749132222293000000,0.0
Indexing.writer_4.totalTimeSpentWritingMs,1749132162212000000,1749132222293000000,1700
Indexes.allKeys.lookupDurationAvgMs,1749132162212000000,1749132222293000000,0.0
Indexes.stubs.lookupDurationAvgMs,1749132162212000000,1749132222293000000,0.0
Indexes.entries.lookupDurationAvgMs,1749132162212000000,1749132222293000000,0.0
Indexing.cache.totalCacheAccesses,1749132162212000000,1749132222293000000,19928965
Indexes.stubs.lookupDurationMaxMs,1749132162212000000,1749132222293000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1749132162212000000,1749132222293000000,0.0
FilePageCache.capacityInBytes,1749132162212000000,1749132222293000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1749132162212000000,1749132222293000000,339738624
FilePageCache.maxCacheSizeInBytes,1749132162212000000,1749132222293000000,339738624
FilePageCache.pageLoads,1749132162212000000,1749132222293000000,327
MappedFileStorage.storages,1749132162212000000,1749132222293000000,14
MappedFileStorage.totalPagesMapped,1749132162212000000,1749132222293000000,14
