Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
SortModifiers;Kotlin/Style issues;Non-canonical modifier order;kotlin;LOCAL;0.00;0.01%;0;6
PackageDirectoryMismatch;Kotlin/Java interop issues;Package name does not match containing directory;kotlin;LOCAL;0.00;0.01%;0;65
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.00;0.01%;0;2
UselessCallOnCollection;Kotlin/Probable bugs;Useless call on collection type;kotlin;LOCAL;0.00;0.01%;0;65
KotlinOptionsToCompilerOptions;Kotlin/Migration/Gradle;Use of deprecated 'kotlinOptions' DSL;kotlin;LOCAL;0.00;0.01%;0;1
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.00;0.01%;0;2
ContextParametersMigration;Kotlin/Code migration;Outdated context receivers used;kotlin;LOCAL;0.00;0.01%;0;65
FloatingPointLiteralPrecision;Kotlin/Other problems;Floating-point literal exceeds the available precision;kotlin;LOCAL;0.00;0.01%;0;65
ArrayInDataClass;Kotlin/Probable bugs;Array property in data class;kotlin;LOCAL;0.00;0.00%;0;65
UsePropertyAccessSyntax;Kotlin/Style issues;Accessor call that can be replaced with property access syntax;kotlin;LOCAL;0.00;0.00%;0;10
RemoveRedundantBackticks;Kotlin/Redundant constructs;Redundant backticks;kotlin;LOCAL;0.00;0.00%;0;9
JavaIoSerializableObjectMustHaveReadResolve;Kotlin/Probable bugs;Serializable object must implement 'readResolve';kotlin;LOCAL;0.00;0.00%;0;65
CanBeVal;Kotlin/Style issues;Local 'var' is never modified and can be declared as 'val';kotlin;LOCAL;0.00;0.00%;0;7
RedundantSuspendModifier;Kotlin/Redundant constructs;Redundant 'suspend' modifier;kotlin;LOCAL;0.00;0.00%;0;10
ReplaceJavaStaticMethodWithKotlinAnalog;Kotlin/Style issues;Java methods should be replaced with Kotlin analog;kotlin;LOCAL;0.00;0.00%;0;9
RegExpRedundantEscape;RegExp;Redundant character escape;RegExp;LOCAL;0.00;0.00%;0;3
ProtectedInFinal;Kotlin/Style issues;'protected' visibility is effectively 'private' in a final class;kotlin;LOCAL;0.00;0.00%;0;7
EqualsBetweenInconvertibleTypes;Kotlin/Probable bugs;'equals()' between objects of inconvertible types;kotlin;LOCAL;0.00;0.00%;0;65
PropertyName;Kotlin/Naming conventions;Property naming convention;kotlin;LOCAL;0.00;0.00%;0;8
IntroduceWhenSubject;Kotlin/Style issues;'when' that can be simplified by introducing an argument;kotlin;LOCAL;0.00;0.00%;0;9
ComplexRedundantLet;Kotlin/Redundant constructs;Redundant argument-based 'let' call;kotlin;LOCAL;0.00;0.00%;0;4
KotlinNoActualForExpect;Kotlin/Other problems;No actual for expect declaration;kotlin;LOCAL;0.00;0.00%;0;63
RemoveEmptySecondaryConstructorBody;Kotlin/Redundant constructs;Redundant constructor body;kotlin;LOCAL;0.00;0.00%;0;7
DestructuringWrongName;Kotlin/Probable bugs;Variable in destructuring declaration uses name of a wrong data class property;kotlin;LOCAL;0.00;0.00%;0;65
IfThenToSafeAccess;Kotlin/Redundant constructs;Can be joined with assignment;kotlin;LOCAL;0.00;0.00%;0;3
RedundantIf;Kotlin/Redundant constructs;Redundant 'if' statement;kotlin;LOCAL;0.00;0.00%;0;8
JoinDeclarationAndAssignment;Kotlin/Style issues;If-Then foldable to '?.';kotlin;LOCAL;0.00;0.00%;0;12
InconsistentCommentForJavaParameter;Kotlin/Naming conventions;Inconsistent comment for Java parameter;kotlin;LOCAL;0.00;0.00%;0;3
ConvertToStringTemplate;Kotlin/Style issues;String concatenation that can be converted to string template;kotlin;LOCAL;0.00;0.00%;0;8
ObjectLiteralToLambda;Kotlin/Style issues;Object literal can be converted to lambda;kotlin;LOCAL;0.00;0.00%;0;1
SimplifiableCallChain;Kotlin/Style issues;Call chain on collection type can be simplified;kotlin;LOCAL;0.00;0.00%;0;4
CanBePrimaryConstructorProperty;Kotlin/Redundant constructs;Property is explicitly assigned to constructor parameter;kotlin;LOCAL;0.00;0.00%;0;8
IfThenToElvis;Kotlin/Style issues;If-Then foldable to '?:';kotlin;LOCAL;0.00;0.00%;0;8
SuspiciousVarProperty;Kotlin/Probable bugs;Suspicious 'var' property: its setter does not influence its getter result;kotlin;LOCAL;0.00;0.00%;0;65
CanConvertToMultiDollarString;Kotlin/Code migration;Multi-dollar interpolation can be used in string literals (available since 2.1);kotlin;LOCAL;0.00;0.00%;0;65
SelfReferenceConstructorParameter;Kotlin/Probable bugs;Constructor can never be complete;kotlin;LOCAL;0.00;0.00%;0;65
MainFunctionReturnUnit;Kotlin/Probable bugs;Main function should return 'Unit';kotlin;LOCAL;0.00;0.00%;0;65
DataClassPrivateConstructor;Kotlin/Probable bugs;Private data class constructor is exposed via the 'copy' method;kotlin;LOCAL;0.00;0.00%;0;65
MoveLambdaOutsideParentheses;Kotlin/Style issues;Lambda argument inside parentheses;kotlin;LOCAL;0.00;0.00%;0;7
ReplaceArrayOfWithLiteral;Kotlin/Style issues;'arrayOf' call can be replaced with array literal [...];kotlin;LOCAL;0.00;0.00%;0;10
ReplaceIsEmptyWithIfEmpty;Kotlin/Style issues;'if' condition can be replaced with lambda call;kotlin;LOCAL;0.00;0.00%;0;5
ControlFlowWithEmptyBody;Kotlin/Redundant constructs;Control flow with empty body;kotlin;LOCAL;0.00;0.00%;0;5
RemoveEmptyClassBody;Kotlin/Redundant constructs;Replace empty class body;kotlin;LOCAL;0.00;0.00%;0;9
RedundantSemicolon;Kotlin/Redundant constructs;Redundant semicolon;kotlin;LOCAL;0.00;0.00%;0;5
FunctionName;Kotlin/Naming conventions;Function naming convention;kotlin;LOCAL;0.00;0.00%;0;7
ReplaceGetOrSet;Kotlin/Style issues;Explicit 'get' or 'set' call;kotlin;LOCAL;0.00;0.00%;0;2
SimplifyNegatedBinaryExpression;Kotlin/Style issues;Negated boolean expression can be simplified;kotlin;LOCAL;0.00;0.00%;0;5
ObjectPrivatePropertyName;Kotlin/Naming conventions;Object private property naming convention;kotlin;LOCAL;0.00;0.00%;0;6
WrapUnaryOperator;Kotlin/Probable bugs;Ambiguous unary operator use with number constant;kotlin;LOCAL;0.00;0.00%;0;65
JavaDefaultMethodsNotOverriddenByDelegation;Kotlin/Java interop issues;Java default methods are not overridden by delegation;kotlin;LOCAL;0.00;0.00%;0;65
FilterIsInstanceCallWithClassLiteralArgument;Kotlin/Style issues;'filterIsInstance' call with a class literal argument;kotlin;LOCAL;0.00;0.00%;0;6
MayBeConstant;Kotlin/Style issues;'protected' visibility is effectively 'private' in a final class;kotlin;LOCAL;0.00;0.00%;0;5
SelfAssignment;Kotlin/Probable bugs;Redundant assignment;kotlin;LOCAL;0.00;0.00%;0;65
